"Year","Patient_Zipcode","PQI_Number","PQI_Name","Observed_Rate_Per_100000_People"
2015,"10002","PQI_S02","Prevention Quality All Circulatory Composite",291.82
2015,"10002","PQI_S03","Prevention Quality All Respiratory Composite",316.38
2015,"10003","PQI_01","Diabetes Short-Term Complications",40.7
2015,"10003","PQI_03","Diabetes Long-Term Complications",54.27
2015,"10003","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",245.83
2015,"10003","PQI_07","Hypertension",34.89
2015,"10003","PQI_08","Heart Failure",93.03
2015,"10003","PQI_10","Dehydration",44.58
2015,"10003","PQI_11","Bacterial Pneumonia",83.34
2015,"10003","PQI_12","Urinary Tract Infection",77.53
2015,"10003","PQI_14","Uncontrolled Diabetes",11.63
2015,"10003","PQI_15","Asthma in Younger Adults",13.5
2015,"10003","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",7.75
2015,"10003","PQI_90","Prevention Quality Overall Composite",565.96
2015,"10003","PQI_91","Prevention Quality Acute Composite",205.45
2015,"10003","PQI_92","Prevention Quality Chronic Composite",360.51
2015,"10003","PQI_S01","Prevention Quality All Diabetes Composite",112.42
2015,"10003","PQI_S02","Prevention Quality All Circulatory Composite",135.67
2015,"10003","PQI_S03","Prevention Quality All Respiratory Composite",112.42
2015,"10004","PQI_01","Diabetes Short-Term Complications",32.98
2015,"10004","PQI_03","Diabetes Long-Term Complications",0
2015,"10004","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",422.65
2015,"10004","PQI_07","Hypertension",32.98
2015,"10004","PQI_08","Heart Failure",65.96
2015,"10004","PQI_10","Dehydration",98.94
2015,"10004","PQI_11","Bacterial Pneumonia",32.98
2015,"10004","PQI_12","Urinary Tract Infection",32.98
2015,"10004","PQI_14","Uncontrolled Diabetes",0
2015,"10004","PQI_15","Asthma in Younger Adults",0
2015,"10004","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",0
2015,"10004","PQI_90","Prevention Quality Overall Composite",494.72
2015,"10004","PQI_91","Prevention Quality Acute Composite",164.91
2015,"10004","PQI_92","Prevention Quality Chronic Composite",329.82
2015,"10004","PQI_S01","Prevention Quality All Diabetes Composite",32.98
2015,"10004","PQI_S02","Prevention Quality All Circulatory Composite",131.93
2015,"10004","PQI_S03","Prevention Quality All Respiratory Composite",164.91
2015,"10005","PQI_01","Diabetes Short-Term Complications",33.03
2015,"10005","PQI_03","Diabetes Long-Term Complications",11.01
2015,"10005","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",40.6
2015,"10005","PQI_07","Hypertension",0
2015,"10005","PQI_08","Heart Failure",11.01
2015,"10005","PQI_10","Dehydration",0
2015,"10005","PQI_11","Bacterial Pneumonia",22.02
2015,"10005","PQI_12","Urinary Tract Infection",11.01
2015,"10005","PQI_14","Uncontrolled Diabetes",0
2015,"10005","PQI_15","Asthma in Younger Adults",15.11
2015,"10005","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",0
2015,"10005","PQI_90","Prevention Quality Overall Composite",110.11
2015,"10005","PQI_91","Prevention Quality Acute Composite",33.03
2015,"10005","PQI_92","Prevention Quality Chronic Composite",77.08
2015,"10005","PQI_S01","Prevention Quality All Diabetes Composite",44.04
2015,"10005","PQI_S02","Prevention Quality All Circulatory Composite",11.01
2015,"10005","PQI_S03","Prevention Quality All Respiratory Composite",22.02
2015,"10006","PQI_01","Diabetes Short-Term Complications",0
2015,"10006","PQI_03","Diabetes Long-Term Complications",28.12
2015,"10006","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",0
2015,"10006","PQI_07","Hypertension",28.12
2015,"10006","PQI_08","Heart Failure",0
2015,"10006","PQI_10","Dehydration",0
2015,"10006","PQI_11","Bacterial Pneumonia",0
2015,"10006","PQI_12","Urinary Tract Infection",0
2015,"10006","PQI_14","Uncontrolled Diabetes",0
2015,"10006","PQI_15","Asthma in Younger Adults",0
2015,"10032","PQI_10","Dehydration",161.41
2015,"10006","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",0
2015,"10006","PQI_90","Prevention Quality Overall Composite",56.24
2015,"10006","PQI_91","Prevention Quality Acute Composite",0
2015,"10006","PQI_92","Prevention Quality Chronic Composite",56.24
2015,"10006","PQI_S01","Prevention Quality All Diabetes Composite",28.12
2015,"10006","PQI_S02","Prevention Quality All Circulatory Composite",28.12
2015,"10006","PQI_S03","Prevention Quality All Respiratory Composite",0
2015,"10007","PQI_01","Diabetes Short-Term Complications",0
2015,"10007","PQI_03","Diabetes Long-Term Complications",0
2015,"10007","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",93.65
2015,"10007","PQI_07","Hypertension",7.49
2015,"10007","PQI_08","Heart Failure",134.84
2015,"10007","PQI_10","Dehydration",22.47
2015,"10007","PQI_11","Bacterial Pneumonia",82.4
2015,"10007","PQI_12","Urinary Tract Infection",52.44
2015,"10007","PQI_14","Uncontrolled Diabetes",0
2015,"10007","PQI_15","Asthma in Younger Adults",0
2015,"10007","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",0
2015,"10007","PQI_90","Prevention Quality Overall Composite",344.6
2015,"10007","PQI_91","Prevention Quality Acute Composite",157.32
2015,"10007","PQI_92","Prevention Quality Chronic Composite",187.28
2015,"10007","PQI_S01","Prevention Quality All Diabetes Composite",0
2015,"10007","PQI_S02","Prevention Quality All Circulatory Composite",142.33
2015,"10007","PQI_S03","Prevention Quality All Respiratory Composite",44.95
2015,"10009","PQI_01","Diabetes Short-Term Complications",37.57
2015,"10009","PQI_03","Diabetes Long-Term Complications",118.08
2015,"10009","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",599.98
2015,"10009","PQI_07","Hypertension",57.25
2015,"10009","PQI_08","Heart Failure",177.12
2015,"10009","PQI_10","Dehydration",69.77
2015,"10009","PQI_11","Bacterial Pneumonia",110.92
2015,"10009","PQI_12","Urinary Tract Infection",161.02
2015,"10009","PQI_14","Uncontrolled Diabetes",10.73
2015,"10009","PQI_15","Asthma in Younger Adults",51.11
2015,"10009","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",21.47
2015,"10009","PQI_90","Prevention Quality Overall Composite",1096.72
2015,"10009","PQI_91","Prevention Quality Acute Composite",341.72
2015,"10009","PQI_92","Prevention Quality Chronic Composite",755
2015,"10009","PQI_S01","Prevention Quality All Diabetes Composite",177.12
2015,"10009","PQI_S02","Prevention Quality All Circulatory Composite",248.69
2015,"10009","PQI_S03","Prevention Quality All Respiratory Composite",330.98
2015,"10010","PQI_01","Diabetes Short-Term Complications",26.65
2015,"10010","PQI_03","Diabetes Long-Term Complications",56.63
2015,"10010","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",173.98
2015,"10010","PQI_07","Hypertension",23.32
2015,"10010","PQI_08","Heart Failure",119.93
2015,"10010","PQI_10","Dehydration",59.97
2015,"10010","PQI_11","Bacterial Pneumonia",103.27
2015,"10010","PQI_12","Urinary Tract Infection",63.3
2015,"10010","PQI_14","Uncontrolled Diabetes",3.33
2015,"10010","PQI_15","Asthma in Younger Adults",6.16
2015,"10010","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",9.99
2015,"10010","PQI_90","Prevention Quality Overall Composite",549.69
2015,"10010","PQI_91","Prevention Quality Acute Composite",226.54
2015,"10010","PQI_92","Prevention Quality Chronic Composite",323.15
2015,"10010","PQI_S01","Prevention Quality All Diabetes Composite",93.28
2015,"10010","PQI_S02","Prevention Quality All Circulatory Composite",146.58
2015,"10010","PQI_S03","Prevention Quality All Respiratory Composite",83.29
2015,"10011","PQI_01","Diabetes Short-Term Complications",34.23
2015,"10011","PQI_03","Diabetes Long-Term Complications",38.51
2015,"10011","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",176.76
2015,"10011","PQI_07","Hypertension",19.25
2015,"10011","PQI_08","Heart Failure",117.66
2015,"10011","PQI_10","Dehydration",42.78
2015,"10011","PQI_11","Bacterial Pneumonia",70.59
2015,"10011","PQI_12","Urinary Tract Infection",62.04
2015,"10011","PQI_14","Uncontrolled Diabetes",6.42
2015,"10011","PQI_15","Asthma in Younger Adults",10.21
2015,"10011","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",8.56
2015,"10011","PQI_90","Prevention Quality Overall Composite",504.86
2015,"10011","PQI_91","Prevention Quality Acute Composite",175.42
2015,"10011","PQI_92","Prevention Quality Chronic Composite",329.44
2015,"10011","PQI_S01","Prevention Quality All Diabetes Composite",85.57
2015,"10011","PQI_S02","Prevention Quality All Circulatory Composite",136.91
2015,"10011","PQI_S03","Prevention Quality All Respiratory Composite",106.96
2015,"10012","PQI_01","Diabetes Short-Term Complications",19.01
2015,"10012","PQI_03","Diabetes Long-Term Complications",19.01
2015,"10012","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",258.45
2015,"10012","PQI_07","Hypertension",23.76
2015,"10012","PQI_08","Heart Failure",66.54
2015,"10012","PQI_10","Dehydration",47.53
2015,"10012","PQI_11","Bacterial Pneumonia",57.03
2015,"10012","PQI_12","Urinary Tract Infection",52.28
2015,"10012","PQI_14","Uncontrolled Diabetes",4.75
2015,"10012","PQI_15","Asthma in Younger Adults",0
2015,"10012","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",0
2015,"10012","PQI_90","Prevention Quality Overall Composite",427.76
2015,"10012","PQI_91","Prevention Quality Acute Composite",156.84
2015,"10012","PQI_92","Prevention Quality Chronic Composite",270.91
2015,"10012","PQI_S01","Prevention Quality All Diabetes Composite",42.78
2015,"10012","PQI_S02","Prevention Quality All Circulatory Composite",104.56
2015,"10012","PQI_S03","Prevention Quality All Respiratory Composite",123.57
2015,"10013","PQI_01","Diabetes Short-Term Complications",4.15
2015,"10013","PQI_03","Diabetes Long-Term Complications",45.67
2015,"10013","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",238.47
2015,"10013","PQI_07","Hypertension",16.61
2015,"10013","PQI_08","Heart Failure",149.47
2015,"10013","PQI_10","Dehydration",70.58
2015,"10013","PQI_11","Bacterial Pneumonia",112.1
2015,"10013","PQI_12","Urinary Tract Infection",49.82
2015,"10013","PQI_14","Uncontrolled Diabetes",8.3
2015,"10013","PQI_15","Asthma in Younger Adults",9.76
2015,"10013","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",0
2015,"10013","PQI_90","Prevention Quality Overall Composite",597.88
2015,"10013","PQI_91","Prevention Quality Acute Composite",232.51
2015,"10013","PQI_92","Prevention Quality Chronic Composite",365.37
2015,"10013","PQI_S01","Prevention Quality All Diabetes Composite",58.13
2015,"10013","PQI_S02","Prevention Quality All Circulatory Composite",166.08
2015,"10013","PQI_S03","Prevention Quality All Respiratory Composite",141.17
2015,"10014","PQI_01","Diabetes Short-Term Complications",3.43
2015,"10014","PQI_03","Diabetes Long-Term Complications",17.13
2015,"10014","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",89.42
2015,"10014","PQI_07","Hypertension",13.7
2015,"10014","PQI_08","Heart Failure",44.54
2015,"10014","PQI_10","Dehydration",58.24
2015,"10014","PQI_11","Bacterial Pneumonia",78.8
2015,"10014","PQI_12","Urinary Tract Infection",44.54
2015,"10014","PQI_14","Uncontrolled Diabetes",0
2015,"10014","PQI_15","Asthma in Younger Adults",22.17
2015,"10014","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",3.43
2015,"10014","PQI_90","Prevention Quality Overall Composite",318.62
2015,"10014","PQI_91","Prevention Quality Acute Composite",181.58
2015,"10014","PQI_92","Prevention Quality Chronic Composite",137.04
2015,"10014","PQI_S01","Prevention Quality All Diabetes Composite",20.56
2015,"10014","PQI_S02","Prevention Quality All Circulatory Composite",58.24
2015,"10014","PQI_S03","Prevention Quality All Respiratory Composite",58.24
2015,"10016","PQI_01","Diabetes Short-Term Complications",81.83
2015,"10016","PQI_03","Diabetes Long-Term Complications",48.71
2015,"10708","PQI_07","Hypertension",21.95
2015,"10016","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",415.91
2015,"10016","PQI_07","Hypertension",48.71
2015,"10016","PQI_08","Heart Failure",243.53
2015,"10016","PQI_10","Dehydration",62.34
2015,"10016","PQI_11","Bacterial Pneumonia",134.43
2015,"10016","PQI_12","Urinary Tract Infection",95.46
2015,"10016","PQI_14","Uncontrolled Diabetes",19.48
2015,"10016","PQI_15","Asthma in Younger Adults",10.44
2015,"10016","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",9.74
2015,"10016","PQI_90","Prevention Quality Overall Composite",952.7
2015,"10016","PQI_91","Prevention Quality Acute Composite",292.24
2015,"10016","PQI_92","Prevention Quality Chronic Composite",660.46
2015,"10016","PQI_S01","Prevention Quality All Diabetes Composite",159.76
2015,"10016","PQI_S02","Prevention Quality All Circulatory Composite",311.72
2015,"10016","PQI_S03","Prevention Quality All Respiratory Composite",188.98
2015,"10017","PQI_01","Diabetes Short-Term Complications",38.7
2015,"10017","PQI_03","Diabetes Long-Term Complications",32.25
2015,"10017","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",328.31
2015,"10017","PQI_07","Hypertension",58.06
2015,"10017","PQI_08","Heart Failure",135.47
2015,"10017","PQI_10","Dehydration",38.7
2015,"10017","PQI_11","Bacterial Pneumonia",70.96
2015,"10017","PQI_12","Urinary Tract Infection",45.16
2015,"10017","PQI_14","Uncontrolled Diabetes",12.9
2015,"10017","PQI_15","Asthma in Younger Adults",0
2015,"10017","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",0
2015,"10017","PQI_90","Prevention Quality Overall Composite",625.73
2015,"10017","PQI_91","Prevention Quality Acute Composite",154.82
2015,"10017","PQI_92","Prevention Quality Chronic Composite",470.91
2015,"10017","PQI_S01","Prevention Quality All Diabetes Composite",83.86
2015,"10017","PQI_S02","Prevention Quality All Circulatory Composite",212.88
2015,"10017","PQI_S03","Prevention Quality All Respiratory Composite",174.17
2015,"10018","PQI_01","Diabetes Short-Term Complications",98.02
2015,"10018","PQI_03","Diabetes Long-Term Complications",49.01
2015,"10018","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",321.8
2015,"10018","PQI_07","Hypertension",32.67
2015,"10018","PQI_08","Heart Failure",49.01
2015,"10018","PQI_10","Dehydration",32.67
2015,"10018","PQI_11","Bacterial Pneumonia",114.36
2015,"10018","PQI_12","Urinary Tract Infection",65.35
2015,"10018","PQI_14","Uncontrolled Diabetes",16.34
2015,"10018","PQI_15","Asthma in Younger Adults",0
2015,"10018","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",0
2015,"10018","PQI_90","Prevention Quality Overall Composite",588.14
2015,"10018","PQI_91","Prevention Quality Acute Composite",212.38
2015,"10018","PQI_92","Prevention Quality Chronic Composite",375.76
2015,"10018","PQI_S01","Prevention Quality All Diabetes Composite",163.37
2015,"10018","PQI_S02","Prevention Quality All Circulatory Composite",81.69
2015,"10018","PQI_S03","Prevention Quality All Respiratory Composite",130.7
2015,"10019","PQI_01","Diabetes Short-Term Complications",43.15
2015,"10019","PQI_03","Diabetes Long-Term Complications",58.38
2015,"10019","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",216.62
2015,"10019","PQI_07","Hypertension",22.84
2015,"10019","PQI_08","Heart Failure",129.44
2015,"10019","PQI_10","Dehydration",60.92
2015,"10019","PQI_11","Bacterial Pneumonia",101.53
2015,"10019","PQI_12","Urinary Tract Infection",91.37
2015,"10019","PQI_14","Uncontrolled Diabetes",12.69
2015,"10019","PQI_15","Asthma in Younger Adults",5.37
2015,"10019","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",7.61
2015,"10019","PQI_90","Prevention Quality Overall Composite",649.76
2015,"10019","PQI_91","Prevention Quality Acute Composite",253.81
2015,"10019","PQI_92","Prevention Quality Chronic Composite",395.95
2015,"10019","PQI_S01","Prevention Quality All Diabetes Composite",119.29
2015,"10019","PQI_S02","Prevention Quality All Circulatory Composite",159.9
2015,"10019","PQI_S03","Prevention Quality All Respiratory Composite",116.75
2015,"10021","PQI_01","Diabetes Short-Term Complications",21.63
2015,"10021","PQI_03","Diabetes Long-Term Complications",33.01
2015,"10021","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",155.68
2015,"10021","PQI_07","Hypertension",35.29
2015,"10021","PQI_08","Heart Failure",177.59
2015,"10021","PQI_10","Dehydration",83.1
2015,"10021","PQI_11","Bacterial Pneumonia",154.82
2015,"10021","PQI_12","Urinary Tract Infection",114.98
2015,"10021","PQI_14","Uncontrolled Diabetes",3.42
2015,"10021","PQI_15","Asthma in Younger Adults",6.02
2015,"10021","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",3.42
2015,"10021","PQI_90","Prevention Quality Overall Composite",730.86
2015,"10021","PQI_91","Prevention Quality Acute Composite",352.91
2015,"10021","PQI_92","Prevention Quality Chronic Composite",377.95
2015,"10021","PQI_S01","Prevention Quality All Diabetes Composite",60.34
2015,"10021","PQI_S02","Prevention Quality All Circulatory Composite",218.57
2015,"10021","PQI_S03","Prevention Quality All Respiratory Composite",99.04
2015,"10022","PQI_01","Diabetes Short-Term Complications",46.2
2015,"10022","PQI_03","Diabetes Long-Term Complications",39.6
2015,"10024","PQI_90","Prevention Quality Overall Composite",796.68
2015,"10022","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",196.53
2015,"10022","PQI_07","Hypertension",9.9
2015,"10022","PQI_08","Heart Failure",138.6
2015,"10022","PQI_10","Dehydration",69.3
2015,"10022","PQI_11","Bacterial Pneumonia",151.8
2015,"10022","PQI_12","Urinary Tract Infection",115.5
2015,"10022","PQI_14","Uncontrolled Diabetes",3.3
2015,"10022","PQI_15","Asthma in Younger Adults",19.12
2015,"10022","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",3.3
2015,"10022","PQI_90","Prevention Quality Overall Composite",719.38
2015,"10022","PQI_91","Prevention Quality Acute Composite",336.59
2015,"10022","PQI_92","Prevention Quality Chronic Composite",382.79
2015,"10022","PQI_S01","Prevention Quality All Diabetes Composite",92.4
2015,"10022","PQI_S02","Prevention Quality All Circulatory Composite",155.1
2015,"10022","PQI_S03","Prevention Quality All Respiratory Composite",135.3
2015,"10023","PQI_01","Diabetes Short-Term Complications",12.99
2015,"10023","PQI_03","Diabetes Long-Term Complications",53.58
2015,"10023","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",118.52
2015,"10023","PQI_07","Hypertension",29.22
2015,"10023","PQI_08","Heart Failure",123.39
2015,"10023","PQI_10","Dehydration",79.55
2015,"10023","PQI_11","Bacterial Pneumonia",87.67
2015,"10023","PQI_12","Urinary Tract Infection",74.68
2015,"10023","PQI_14","Uncontrolled Diabetes",6.49
2015,"10023","PQI_15","Asthma in Younger Adults",0
2015,"10023","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",3.25
2015,"10023","PQI_90","Prevention Quality Overall Composite",550.38
2015,"10023","PQI_91","Prevention Quality Acute Composite",241.91
2015,"10023","PQI_92","Prevention Quality Chronic Composite",308.47
2015,"10023","PQI_S01","Prevention Quality All Diabetes Composite",74.68
2015,"10023","PQI_S02","Prevention Quality All Circulatory Composite",160.73
2015,"10023","PQI_S03","Prevention Quality All Respiratory Composite",73.06
2015,"10024","PQI_01","Diabetes Short-Term Complications",24.51
2015,"10024","PQI_03","Diabetes Long-Term Complications",73.54
2015,"10024","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",162.69
2015,"10024","PQI_07","Hypertension",36.77
2015,"10024","PQI_08","Heart Failure",179.76
2015,"10024","PQI_10","Dehydration",79.67
2015,"10024","PQI_11","Bacterial Pneumonia",151.17
2015,"10024","PQI_12","Urinary Tract Infection",116.44
2015,"10024","PQI_14","Uncontrolled Diabetes",12.26
2015,"10024","PQI_15","Asthma in Younger Adults",18.32
2015,"10024","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",6.13
2015,"10024","PQI_91","Prevention Quality Acute Composite",347.27
2015,"10024","PQI_92","Prevention Quality Chronic Composite",449.41
2015,"10024","PQI_S01","Prevention Quality All Diabetes Composite",114.4
2015,"10024","PQI_S02","Prevention Quality All Circulatory Composite",220.62
2015,"10024","PQI_S03","Prevention Quality All Respiratory Composite",114.4
2015,"10025","PQI_01","Diabetes Short-Term Complications",54.76
2015,"10025","PQI_03","Diabetes Long-Term Complications",135.66
2015,"10025","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",399.64
2015,"10025","PQI_07","Hypertension",60.99
2015,"10025","PQI_08","Heart Failure",230.26
2015,"10025","PQI_10","Dehydration",97.08
2015,"10025","PQI_11","Bacterial Pneumonia",129.44
2015,"10025","PQI_12","Urinary Tract Infection",113.26
2015,"10025","PQI_14","Uncontrolled Diabetes",14.94
2015,"10025","PQI_15","Asthma in Younger Adults",59.75
2015,"10025","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",24.89
2015,"10025","PQI_90","Prevention Quality Overall Composite",1128.88
2015,"10025","PQI_91","Prevention Quality Acute Composite",339.78
2015,"10025","PQI_92","Prevention Quality Chronic Composite",789.1
2015,"10025","PQI_S01","Prevention Quality All Diabetes Composite",219.06
2015,"10025","PQI_S02","Prevention Quality All Circulatory Composite",304.93
2015,"10025","PQI_S03","Prevention Quality All Respiratory Composite",265.11
2015,"10026","PQI_01","Diabetes Short-Term Complications",89.46
2015,"10026","PQI_03","Diabetes Long-Term Complications",193.22
2015,"10026","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",802.74
2015,"10026","PQI_07","Hypertension",93.03
2015,"10026","PQI_08","Heart Failure",400.76
2015,"10026","PQI_10","Dehydration",110.92
2015,"10026","PQI_11","Bacterial Pneumonia",146.71
2015,"10026","PQI_12","Urinary Tract Infection",100.19
2015,"10026","PQI_14","Uncontrolled Diabetes",10.73
2015,"10026","PQI_15","Asthma in Younger Adults",120
2015,"10026","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",28.63
2015,"10026","PQI_90","Prevention Quality Overall Composite",1678.18
2015,"10026","PQI_91","Prevention Quality Acute Composite",357.82
2015,"10026","PQI_92","Prevention Quality Chronic Composite",1320.36
2015,"10026","PQI_S01","Prevention Quality All Diabetes Composite",307.73
2015,"10026","PQI_S02","Prevention Quality All Circulatory Composite",515.26
2015,"10026","PQI_S03","Prevention Quality All Respiratory Composite",497.37
2015,"10027","PQI_01","Diabetes Short-Term Complications",82.14
2015,"10027","PQI_03","Diabetes Long-Term Complications",156.27
2015,"10027","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",862.59
2015,"10027","PQI_07","Hypertension",90.16
2015,"10027","PQI_08","Heart Failure",378.66
2015,"10027","PQI_10","Dehydration",112.2
2015,"10027","PQI_11","Bacterial Pneumonia",150.26
2015,"10027","PQI_12","Urinary Tract Infection",90.16
2015,"10027","PQI_14","Uncontrolled Diabetes",36.06
2015,"10027","PQI_15","Asthma in Younger Adults",52.61
2015,"10027","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",24.04
2015,"10027","PQI_90","Prevention Quality Overall Composite",1556.71
2015,"10027","PQI_91","Prevention Quality Acute Composite",352.61
2015,"10027","PQI_92","Prevention Quality Chronic Composite",1204.1
2015,"10027","PQI_S01","Prevention Quality All Diabetes Composite",288.5
2015,"10027","PQI_S02","Prevention Quality All Circulatory Composite",484.84
2015,"10027","PQI_S03","Prevention Quality All Respiratory Composite",430.75
2015,"10028","PQI_01","Diabetes Short-Term Complications",20.16
2015,"10028","PQI_03","Diabetes Long-Term Complications",25.19
2015,"10028","PQI_05","Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults",143.52
2015,"10028","PQI_07","Hypertension",17.64
2015,"10028","PQI_08","Heart Failure",146.13
2015,"10028","PQI_10","Dehydration",73.06
2015,"10028","PQI_11","Bacterial Pneumonia",85.66
2015,"10028","PQI_12","Urinary Tract Infection",80.62
2015,"10028","PQI_14","Uncontrolled Diabetes",12.6
2015,"10028","PQI_15","Asthma in Younger Adults",6.25
2015,"10028","PQI_16","Lower-Extremity Amputation among Patients with Diabetes",7.56
2015,"10028","PQI_90","Prevention Quality Overall Composite",566.88
2015,"10028","PQI_91","Prevention Quality Acute Composite",239.35
2015,"10028","PQI_92","Prevention Quality Chronic Composite",327.53
2015,"10028","PQI_S01","Prevention Quality All Diabetes Composite",65.51
